nom,prix,type,annee,kilometrage,localisation
Ford F-550,Pas de prix,Box trucks,2011,Non spécifié,"Morris, Illinois,  US"
"Peterbilt 536 26' Flatbed, PX7","122,500 USD",Flatbed Trucks,2025,460,"Denver, Colorado,  US"
"Peterbilt 536 26' Box Truck, 3,300 Lbs. Capacity Liftgate **","117,500 USD",Box trucks,2025,1594,"Denver, Colorado,  US"
Morgan 16 Foot,On Request,Other Trucks,2021,21144,"Middletown, Connecticut,  US"
Peterbilt 320,On Request,Cab & Chassis Trucks,2002,17000,"Greer, South Carolina,  US"
Mack GU813,On Request,Other Trucks,2016,Non spécifié,"Tampa, Florida,  US"
Stewart & Stevenson M-1078,"48,000 USD",Box trucks,1997,Non spécifié,"Washington, Missouri,  US"
International 4900,"2,000 USD",Tank Trucks,1999,Non spécifié,"Monroe, Louisiana,  US"
BAE M1093A1R,On Request,Box trucks,2009,Non spécifié,"Washington, Missouri,  US"
Mack CV713,"30,000 USD",Concrete Trucks,2007,Non spécifié,"Pierson, Florida,  US"
RAM Promaster 3500,"45,000 USD",Box trucks,2023,Non spécifié,"Perris, California,  US"
Peterbilt 330,"25,000 USD",Tank Trucks,2002,Non spécifié,"Trenton, New Jersey,  US"
International DuraStar 4300,"18,500 USD",Flatbed Trucks,2006,Non spécifié,"Trenton, New Jersey,  US"
Sterling 7500,"18,000 USD",Dump Trucks,2005,Non spécifié,"Trenton, New Jersey,  US"
Mack Granite,"184,900 USD",Dump Trucks,2021,Non spécifié,"Cincinnatti, Ohio,  US"
Mack Granite CV713,"34,000 USD",Dump Trucks,2006,Non spécifié,"Trenton, New Jersey,  US"
Ford F450,"27,000 USD",Dump Trucks,2013,Non spécifié,"Trenton, New Jersey,  US"
Peterbilt 365,"44,900 USD",Concrete Trucks,2008,Non spécifié,"Phoenix, Arizona,  US"
Peterbilt 330,"85,000 USD",Dump Trucks,2004,Non spécifié,"Phoenix, Arizona,  US"
International 7600,"69,900 USD",Dump Trucks,2005,Non spécifié,"Alexandria, Virginia,  US"
Peterbilt 567,"300,000 USD",Dump Trucks,2016,Non spécifié,"Philadelphia, Pennsylvania,  US"
Peterbilt 365,"133,500 USD",Dump Trucks,2012,Non spécifié,"Phoenix, Arizona,  US"
Mack Granite CV713,"34,000 USD",Dump Trucks,2006,Non spécifié,"Trenton, New Jersey,  US"
Freightliner FLD120 Conventional,"27,750 USD",Dump Trucks,1987,Non spécifié,"Trenton, New Jersey,  US"
