titre,prix,annee,km,pays,type,modele,lien
Mercedes-Benz ATEGO 1524 L,Company,2023,"55,364 miles",Finland,Box trucks,Mercedes-Benz ATEGO 1524 L,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-1524-l/5ohpgh3j.html
Scania R420 8x2/6 // Knæklad Med Venderampe // Nysynet,Company,2008,"463,543 miles",Denmark,Car Haulers,Scania R420 8x2/6 // Knæklad med venderampe // Nysynet,https://www.mascus.com/transportation/vehicle-transporters/scania-r420-8x2-6-knaklad-med-venderampe-nysynet/ajefbmbr.html
Scania G 490,Company,,,,,,https://www.mascus.com/transportation/containerframe-trucks/scania-g-490/7kcgarhf.html
MAN TGL 12.250,Company,2021,"127,381 miles",Poland,Box trucks,MAN TGL 12.250,https://www.mascus.com/transportation/box-body-trucks/man-tgl-12-250/es5t9ggq.html
Chevrolet FVZ-217,Company,2017,,Colombia,Dump Trucks,Chevrolet FVZ-217,https://www.mascus.com/transportation/tipper-trucks/chevrolet-fvz-217/as8rffbt.html
International Durastar 4300,Company,2018,"337,094 miles",United States,Box trucks,International Durastar 4300,https://www.mascus.com/transportation/box-body-trucks/international-durastar-4300/6l4j7n3q.html
Scania R 650 6x4 FOR SALE AS CHASSIS / RETARDER / CHASSIS,Company,2019,"312,524 miles",Estonia,Cab & Chassis Trucks,Scania R 650 6x4 FOR SALE AS CHASSIS / RETARDER / CHASSIS,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-650-6x4-for-sale-as-chassis-retarder-chassis/eiatgsdq.html
Sterling L9500,Company,2007,"242,224 miles",United States,Flatbed Trucks,Sterling L9500,https://www.mascus.com/transportation/flatbed-dropside-trucks/sterling-l9500/igfm6r6s.html
DAF FAX CF 480 Euro 6 HMF 26 Tonmeter Laadkraan,Company,2020,"143,624 miles",Netherlands,Hook lift trucks,DAF FAX CF 480 Euro 6 HMF 26 Tonmeter laadkraan,https://www.mascus.com/transportation/hook-lift-trucks/daf-fax-cf-480-euro-6-hmf-26-tonmeter-laadkraan/7n9ictft.html
Iveco Daily 35-160,Company,2020,"47,143 miles",Netherlands,Flatbed Trucks,Iveco Daily 35-160,https://www.mascus.com/transportation/flatbed-dropside-trucks/iveco-daily-35-160/gtir7t4r.html
MAN TGA 18.350 * ESTERER * OBEN UND UNTEN * BENZIN,Company,2005,"267,190 miles",Germany,Tank Trucks,MAN TGA 18.350 * ESTERER * OBEN UND UNTEN * BENZIN,https://www.mascus.com/transportation/tank-trucks/man-tga-18-350-esterer-oben-und-unten-benzin/ekafbofj.html
Mack GRANITE F,Company,2022,30 miles,United States,Dump Trucks,Mack GRANITE F,https://www.mascus.com/transportation/tipper-trucks/mack-granite-f/alaigj8j.html
MAN 4x2 Asphalt Distributor Truck,Company,2016,"182,250 miles",United Kingdom,Tank Trucks,MAN 4x2 Asphalt Distributor Truck,https://www.mascus.com/transportation/tank-trucks/man-4x2-asphalt-distributor-truck/ig3kckem.html
"International 4300, 3,000 Gallon Aviation Refueler",Company,2018,"2,051 miles",United States,Tank Trucks,"International 4300, 3,000 Gallon Aviation Refueler",https://www.mascus.com/transportation/tank-trucks/international-4300-3-000-gallon-aviation-refueler/fgis5ffr.html
Mercedes-Benz Atego 818 / Meiller/ 2xAHK/ AC/ 3 Sitze/ 23 Tkm,Company,2022,"14,657 miles",Germany,Dump Trucks,Mercedes-Benz Atego 818 / Meiller/ 2xAHK/ AC/ 3 Sitze/ 23 Tkm,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-atego-818-meiller-2xahk-ac-3-sitze-23-tkm/hqbsbh5k.html
MAN TGS 41.480,Company,2025,,Germany,Dump Trucks,MAN TGS 41.480,https://www.mascus.com/transportation/tipper-trucks/man-tgs-41-480/4sithocr.html
Renault Gamme T 380,Company,2017,"256,005 miles",France,Box trucks,Renault Gamme T 380,https://www.mascus.com/transportation/box-body-trucks/renault-gamme-t-380/ci4o4p4i.html
Isuzu NPR EFI,Company,,,,,,https://www.mascus.com/transportation/box-body-trucks/isuzu-npr-efi/8kil8riu.html
"Mercedes-Benz Actros 1840 4x2 Groenewold Auto-Transporter, 9 Car",Company,2018,"419,159 miles",Netherlands,Car Haulers,"Mercedes-Benz Actros 1840 4x2 Groenewold auto-transporter, 9 car",https://www.mascus.com/transportation/vehicle-transporters/mercedes-benz-actros-1840-4x2-groenewold-auto-transporter-9-car/gu5h6i3s.html
Iveco Eurocargo 180E320 4X2 NEW! 16T Chassis 2017 Produc,Company,2017,7 miles,Netherlands,Cab & Chassis Trucks,Iveco Eurocargo 180E320 4X2 NEW! 16T chassis 2017 produc,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-eurocargo-180e320-4x2-new-16t-chassis-2017-produc/ijgqigej.html
Mercedes-Benz Actros 2548 L MP5 6x2 Abrollkipper Meiller Funk,Company,2021,"137,552 miles",Germany,Hook lift trucks,Mercedes-Benz Actros 2548 L MP5 6x2 Abrollkipper Meiller Funk,https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-actros-2548-l-mp5-6x2-abrollkipper-meiller-funk/fuei9t8i.html
Hino 268,Company,,,,,,https://www.mascus.com/transportation/box-body-trucks/hino-268/dqhu3icj.html
International 4300 SBA,Company,2018,,United States,Other Trucks,International 4300 SBA,https://www.mascus.com/transportation/other-trucks/international-4300-sba/7ngmejir.html
Volvo FM500 8X4,Company,2012,"477,524 miles",Denmark,Demountable Trucks,Volvo FM500 8X4,https://www.mascus.com/transportation/demountables-trucks/volvo-fm500-8x4/gtaoas8s.html
Scania P410 8X4 EURO 6 LIEBHERR + LIEBHERR LTB 12+4 BELT,Company,2018,"174,201 miles",Netherlands,Concrete Trucks,Scania P410 8X4 EURO 6 LIEBHERR + LIEBHERR LTB 12+4 BELT,https://www.mascus.com/transportation/concrete-trucks/scania-p410-8x4-euro-6-liebherr-liebherr-ltb-12-4-belt/4neg6ucs.html
Mercedes-Benz / SPRINTER 516 BLUETEC / 299 000 Km / SPROWADZONY,Company,2015,"185,790 miles",Hungary,Other Trucks,Mercedes-Benz / SPRINTER 516 BLUETEC / 299 000 km / SPROWADZONY,https://www.mascus.com/transportation/other-trucks/mercedes-benz-sprinter-516-bluetec-299-000-km-sprowadzony/5o9qbjgq.html
Sterling L9500,Company,2009,"79,200 miles",United States,Concrete Trucks,Sterling L9500,https://www.mascus.com/transportation/concrete-trucks/sterling-l9500/8rdh9gbj.html
Ford F 450 SD *BUCKET TRUCK* F450 ALTEC *BUCKET BOOM TR,Company,2014,"143,325 miles",United States,Cab & Chassis Trucks,Ford F 450 SD *BUCKET TRUCK* F450 ALTEC *BUCKET BOOM TR,https://www.mascus.com/transportation/chassis-cab-trucks/ford-f-450-sd-bucket-truck-f450-altec-bucket-boom-tr/dmgift5f.html
Volvo FH 540 8x4*4 RETARDER / BOX L=5505 Mm,Company,2017,"188,088 miles",Estonia,Dump Trucks,Volvo FH 540 8x4*4 RETARDER / BOX L=5505 mm,https://www.mascus.com/transportation/tipper-trucks/volvo-fh-540-8x4-4-retarder-box-l-5505-mm/9rfh9ueg.html
International 4300 SBA,Company,2019,"303,083 miles",United States,Box trucks,International 4300 SBA,https://www.mascus.com/transportation/box-body-trucks/international-4300-sba/hjbtbs6n.html
"Mercedes-Benz Arocs 3348 K 6x4, Kran Fassi F255A.2.24,",Company,,,Germany,Dump Trucks,"Mercedes-Benz Arocs 3348 K 6x4, Kran Fassi F255A.2.24,",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-3348-k-6x4-kran-fassi-f255a-2-24/cnhldl9r.html
Freightliner M2,Company,2018,"69,000 miles",United States,Beverage Trucks,Freightliner M2,https://www.mascus.com/transportation/beverage-delivery-trucks/freightliner-m2/5hbg4hgp.html
International HX615,Company,2018,,United States,Dump Trucks,International HX615,https://www.mascus.com/transportation/tipper-trucks/international-hx615/9ldodqio.html
Mercedes-Benz Arocs,Company,2014,"161,556 miles",Norway,Dump Trucks,Mercedes-Benz Arocs,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs/ffbnhfbq.html
MAN TGM 18.290 * HIAB 099 BS-3 + FUNK + Anhänger*4x4,Company,2018,"48,467 miles",Poland,Boom / Crane / Bucket Trucks,MAN TGM 18.290 * HIAB 099 BS-3 + FUNK + Anhänger*4x4,https://www.mascus.com/transportation/crane-trucks/man-tgm-18-290-hiab-099-bs-3-funk-anhanger-4x4/4l3kdg3k.html
MAN TGA 33.360,Company,2007,"339,890 miles",Germany,Dump Trucks,MAN TGA 33.360,https://www.mascus.com/transportation/tipper-trucks/man-tga-33-360/gj8ndf5o.html
GMC W 5500,Company,2005,"152,953 miles",United States,Box trucks,GMC W 5500,https://www.mascus.com/transportation/box-body-trucks/gmc-w-5500/8shogqek.html
DAF LF 180 3 KANT KIPPER EURO6 NIEUWSTAAT!,Company,2017,"180,198 miles",Belgium,Dump Trucks,DAF LF 180 3 KANT KIPPER EURO6 NIEUWSTAAT!,https://www.mascus.com/transportation/tipper-trucks/daf-lf-180-3-kant-kipper-euro6-nieuwstaat/ao5jfp4i.html
Peterbilt 567,Company,2026,,United States,Cab & Chassis Trucks,Peterbilt 567,https://www.mascus.com/transportation/chassis-cab-trucks/peterbilt-567/bn5o7oin.html
Mack GR64B,Company,2027,,United States,Other Trucks,Mack GR64B,https://www.mascus.com/transportation/other-trucks/mack-gr64b/8r6j5h4j.html
Kylkipressut + Takaovet,Company,,,Finland,Other Trucks,Kylkipressut + takaovet,https://www.mascus.com/transportation/other-trucks/kylkipressut-takaovet/7tgf7p5s.html
Peterbilt 337,Company,2019,"245,652 miles",United States,Curtain Side Trucks,Peterbilt 337,https://www.mascus.com/transportation/curtainsider-trucks/peterbilt-337/8ofmef8t.html
Volvo FH 16 650 8x4 HIAB 855E-7 / PLATFORM L=6454 Mm,Company,2015,"244,226 miles",Estonia,Boom / Crane / Bucket Trucks,Volvo FH 16 650 8x4 HIAB 855E-7 / PLATFORM L=6454 mm,https://www.mascus.com/transportation/crane-trucks/volvo-fh-16-650-8x4-hiab-855e-7-platform-l-6454-mm/9r5l8maq.html
Renault C 460 Euro 6 8x4 Palfinger 19 Tonmeter Laadkraan,Company,2017,"334,811 miles",Netherlands,Hook lift trucks,Renault C 460 Euro 6 8x4 Palfinger 19 Tonmeter laadkraan,https://www.mascus.com/transportation/hook-lift-trucks/renault-c-460-euro-6-8x4-palfinger-19-tonmeter-laadkraan/6ogh6t5h.html
Mercedes-Benz Actros 2541 MP3 V6 Box Truck 6x2 Airconditioning 3,Company,2013,"245,586 miles",Netherlands,Box trucks,Mercedes-Benz Actros 2541 MP3 V6 Box Truck 6x2 Airconditioning 3,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-actros-2541-mp3-v6-box-truck-6x2-airconditioning-3/cj3gdj5l.html
Freightliner M2106,Company,2016,,United States,Box trucks,Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/8t8kbn3l.html
Mack GR,Company,2015,"271,915 miles",United States,Dump Trucks,Mack GR,https://www.mascus.com/transportation/tipper-trucks/mack-gr/5g9tcmdr.html
"Mercedes-Benz Arocs 3248 K 8x4/4, Retarder, Navi, Multimedia",Company,2021,"74,561 miles",Germany,Dump Trucks,"Mercedes-Benz Arocs 3248 K 8x4/4, Retarder, Navi, Multimedia",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-3248-k-8x4-4-retarder-navi-multimedia/arit7u8u.html
Mack TE64,Company,2026,,United States,Other Trucks,Mack TE64,https://www.mascus.com/transportation/other-trucks/mack-te64/cucfbs4i.html
DAF XD,Company,2026,,United Kingdom,Boom / Crane / Bucket Trucks,DAF XD,https://www.mascus.com/transportation/crane-trucks/daf-xd/8s9taj7p.html
Mercedes-Benz Sprinter CDI,Company,2002,"217,480 miles",Italy,Box trucks,Mercedes-Benz Sprinter CDI,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-sprinter-cdi/7f5sblgq.html
Scania P 280 DB4x2HNA,Company,2014,"318,763 miles",France,Cab & Chassis Trucks,Scania P 280 DB4x2HNA,https://www.mascus.com/transportation/chassis-cab-trucks/scania-p-280-db4x2hna/4g8n8f5m.html
Iveco Eurocargo 4x2 Box - 250 PS - Zepro Loadlift - Low,Company,2017,"135,151 miles",Netherlands,Box trucks,Iveco Eurocargo 4x2 Box - 250 PS - Zepro Loadlift - Low,https://www.mascus.com/transportation/box-body-trucks/iveco-eurocargo-4x2-box-250-ps-zepro-loadlift-low/crar5jcr.html
Mercedes-Benz Arocs 4851 8X4 NEW!! 26m3 Tipper Full Steel Big-Ax,Company,2025,7 miles,Netherlands,Dump Trucks,Mercedes-Benz Arocs 4851 8X4 NEW!! 26m3 Tipper Full Steel Big-Ax,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-4851-8x4-new-26m3-tipper-full-steel-big-ax/7i4tio5s.html
MAN TGM 18.290,Company,2011,"183,926 miles",Belgium,Tank Trucks,MAN TGM 18.290,https://www.mascus.com/transportation/tank-trucks/man-tgm-18-290/gq9o3jgt.html
Volvo FM 380,Company,2019,"127,381 miles",Ireland,Boom / Crane / Bucket Trucks,Volvo FM 380,https://www.mascus.com/transportation/crane-trucks/volvo-fm-380/4pchcncn.html
Volvo TRUCK VNL64T300,Company,2020,"196,401 miles",United States,Other Trucks,Volvo TRUCK VNL64T300,https://www.mascus.com/transportation/other-trucks/volvo-truck-vnl64t300/cgctaogh.html
Mercedes-Benz ATEGO 1224 REFRIGERATOR CARRIER SUPRA 550 SILENT R,Company,2018,"302,919 miles",Hungary,Reefer Trucks,Mercedes-Benz ATEGO 1224 REFRIGERATOR CARRIER SUPRA 550 SILENT R,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-1224-refrigerator-carrier-supra-550-silent-r/ht6rfo4u.html
MAN TGS 26.480 6X4H Kran Fassi F310AXP.25,Company,2009,"167,397 miles",Germany,Boom / Crane / Bucket Trucks,MAN TGS 26.480 6X4H Kran Fassi F310AXP.25,https://www.mascus.com/transportation/crane-trucks/man-tgs-26-480-6x4h-kran-fassi-f310axp-25/iq5qcqam.html
Sterling LT9517,Company,2003,"264,560 miles",United States,Dump Trucks,Sterling LT9517,https://www.mascus.com/transportation/tipper-trucks/sterling-lt9517/4udq8qfp.html
Chevrolet C8500,Company,,,,,,https://www.mascus.com/transportation/skip-loader-trucks/chevrolet-c8500/dm8g3leh.html
Iveco Eurocargo 80E18 Doka,Company,2008,"128,739 miles",Germany,Dump Trucks,Iveco Eurocargo 80E18 Doka,https://www.mascus.com/transportation/tipper-trucks/iveco-eurocargo-80e18-doka/9gcugofp.html
Iveco 70C18 Thermoking V-600X*NEUWERTIG*Nur56tkm*NL 3t,Company,2024,"34,990 miles",Germany,Reefer Trucks,Iveco 70C18 Thermoking V-600X*NEUWERTIG*nur56tkm*NL 3t,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-70c18-thermoking-v-600x-neuwertig-nur56tkm-nl-3t/bo7m5rdj.html
Volvo FH 540 6x2 Tankbil - HMK Bilcon - Lav Km,Company,2018,"236,066 miles",Norway,Other Trucks,Volvo FH 540 6x2 tankbil - HMK Bilcon - Lav km,https://www.mascus.com/transportation/other-trucks/volvo-fh-540-6x2-tankbil-hmk-bilcon-lav-km/ij7j7ueg.html
Volvo FMX 500 8x4/4-3700 Koukkuauto Euro-6,Company,2018,"231,771 miles",Finland,Hook lift trucks,Volvo FMX 500 8x4/4-3700 koukkuauto Euro-6,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fmx-500-8x4-4-3700-koukkuauto-euro-6/efeqhocq.html
Renault T 480 6X2,Company,2021,"252,779 miles",Netherlands,Other Trucks,Renault T 480 6X2,https://www.mascus.com/transportation/other-trucks/renault-t-480-6x2/gj5iinbt.html
DAF CF 75.310 6X2 EURO 5 HMF 1244 Z2 + REMOTE + HIAB 1,Company,2008,"268,851 miles",Netherlands,Hook lift trucks,DAF CF 75.310 6X2 EURO 5 HMF 1244 Z2 + REMOTE + HIAB 1,https://www.mascus.com/transportation/hook-lift-trucks/daf-cf-75-310-6x2-euro-5-hmf-1244-z2-remote-hiab-1/cnbndnes.html
Volvo FMX 500 Volvo FMX 500 8x4 Abrollkipper + Kran Hiab,Company,2024,,Germany,Hook lift trucks,Volvo FMX 500 Volvo FMX 500 8x4 Abrollkipper + Kran Hiab,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fmx-500-volvo-fmx-500-8x4-abrollkipper-kran-hiab/ir4h9l3s.html
Mercedes-Benz 963-0-C,Company,2014,"621,371 miles",Sweden,Box trucks,Mercedes-Benz 963-0-C,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-963-0-c/8fasbp5m.html
Peterbilt 337,Company,2016,,United States,Reefer Trucks,Peterbilt 337,https://www.mascus.com/transportation/temperature-controlled-trucks/peterbilt-337/5nci4mcp.html
"MAN TGS 35.400 , Pompogruszka Schwing 24-125",Company,2009,"232,393 miles",Poland,Concrete Trucks,"MAN TGS 35.400 , Pompogruszka Schwing 24-125",https://www.mascus.com/transportation/concrete-trucks/man-tgs-35-400-pompogruszka-schwing-24-125/cnfkdjhu.html
Mercedes-Benz Actros2540/6x2/Fahrschule/5-Sitze/TÜV/ExBundeweh,Company,2017,"65,244 miles",Germany,Cab & Chassis Trucks,Mercedes-Benz Actros2540/6x2/Fahrschule/5-Sitze/TÜV/exBundeweh,https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-actros2540-6x2-fahrschule-5-sitze-tuv-exbundeweh/3q8o9igq.html
Howo 375 8x4,Company,2024,"5,282 miles",China,Dump Trucks,Howo 375 8x4,https://www.mascus.com/transportation/tipper-trucks/howo-375-8x4/7n9oel5t.html
"DAF CF450 FA, BDF Rahmen, Jost Hubschwing, 2 X Talson",Company,2018,"365,297 miles",Netherlands,Demountable Trucks,"DAF CF450 FA, BDF Rahmen, Jost Hubschwing, 2 x Talson",https://www.mascus.com/transportation/demountables-trucks/daf-cf450-fa-bdf-rahmen-jost-hubschwing-2-x-talson/9nhshjgk.html
International MV,Company,2027,186 miles,Canada,Cab & Chassis Trucks,International MV,https://www.mascus.com/transportation/chassis-cab-trucks/international-mv/gs3u3q9r.html
Volvo FMX 500 8X4 NEW! Crane + Hooklift Palfinger PK3300,Company,2026,7 miles,Netherlands,Hook lift trucks,Volvo FMX 500 8X4 NEW! Crane + Hooklift Palfinger PK3300,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fmx-500-8x4-new-crane-hooklift-palfinger-pk3300/7phudqej.html
"Mercedes-Benz 4140 AK Actros 8x8, Meiler, Allrad, 4x Am Lager",Company,2000,,Germany,Dump Trucks,"Mercedes-Benz 4140 AK Actros 8x8, Meiler, Allrad, 4x am Lager",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-4140-ak-actros-8x8-meiler-allrad-4x-am-lager/7l6pambf.html
MAN TGS 35.520 MAN TGS 37.520 8x4 Euro6e Hyva 26-55 Ab,Company,2025,,Germany,Hook lift trucks,MAN TGS 35.520 MAN TGS 37.520 8x4 Euro6e Hyva 26-55 Ab,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-35-520-man-tgs-37-520-8x4-euro6e-hyva-26-55-ab/hg8idk9s.html
Freightliner M2 106,Company,2016,"164,666 miles",United States,Reefer Trucks,Freightliner M2 106,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-106/4mhjdfgt.html
Volvo Motvikt L180g 11154152,Company,,,Sweden,Other Trucks,Volvo motvikt L180g 11154152,https://www.mascus.com/transportation/other-trucks/volvo-motvikt-l180g-11154152/3pdoalaj.html
International HV,Company,2027,"1,273 miles",Canada,Cab & Chassis Trucks,International HV,https://www.mascus.com/transportation/chassis-cab-trucks/international-hv/9i5icsbf.html
Scania R500,Company,2019,"114,954 miles",Norway,Dump Trucks,Scania R500,https://www.mascus.com/transportation/tipper-trucks/scania-r500/9fcudoef.html
MAN 8.190 Meiller Dreiseitenkipper,Company,2018,"45,741 miles",Germany,Dump Trucks,MAN 8.190 Meiller Dreiseitenkipper,https://www.mascus.com/transportation/tipper-trucks/man-8-190-meiller-dreiseitenkipper/8oblgi6k.html
MAN TGX 26.480 Hydr.Konttilaite,Company,2015,"466,028 miles",Finland,Container Trucks,MAN TGX 26.480 hydr.konttilaite,https://www.mascus.com/transportation/containerframe-trucks/man-tgx-26-480-hydr-konttilaite/ek7sch5g.html
Mercedes-Benz Actros 2124 EURO6,Company,2016,"298,258 miles",Belgium,Box trucks,Mercedes-Benz Actros 2124 EURO6,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-actros-2124-euro6/asbm3rhq.html
Sisu R500 10x4,Company,2007,"304,348 miles",Finland,Cab & Chassis Trucks,Sisu R500 10x4,https://www.mascus.com/transportation/chassis-cab-trucks/sisu-r500-10x4/8hhleqhu.html
Mercedes-Benz Sprinter 316 Hebebühne,Company,2010,"109,361 miles",Switzerland,Curtain Side Trucks,Mercedes-Benz Sprinter 316 Hebebühne,https://www.mascus.com/transportation/curtainsider-trucks/mercedes-benz-sprinter-316-hebebuhne/9fbqbgho.html
Mercedes-Benz Arocs 2545 L / 6x4 /Palfinger PK19.001,Company,,"95,691 miles",Hungary,Dump Trucks,Mercedes-Benz Arocs 2545 L / 6x4 /Palfinger PK19.001,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-2545-l-6x4-palfinger-pk19-001/3phtan6n.html
Renault Midlum 220 + Euro 5 + MANUAL + Lift + 12T,Company,2009,"470,004 miles",Netherlands,Box trucks,Renault Midlum 220 + euro 5 + MANUAL + lift + 12T,https://www.mascus.com/transportation/box-body-trucks/renault-midlum-220-euro-5-manual-lift-12t/hr5p8sal.html
International MV607,Company,2020,"220,772 miles",United States,Reefer Trucks,International MV607,https://www.mascus.com/transportation/temperature-controlled-trucks/international-mv607/6fcndf9s.html
"Kenworth T270 10ft Dump Truck, PX7, Allison Auto, Tarp",Company,2022,"5,588 miles",United States,Dump Trucks,"Kenworth T270 10ft Dump Truck, PX7, Allison Auto, Tarp",https://www.mascus.com/transportation/tipper-trucks/kenworth-t270-10ft-dump-truck-px7-allison-auto-tarp/ef7sdqaq.html
MAN TGX 26.440 6x2|Fassi F185AS22*XLX-Kabine*Manuell,Company,2009,"389,233 miles",Germany,Flatbed Trucks,MAN TGX 26.440 6x2|Fassi F185AS22*XLX-Kabine*manuell,https://www.mascus.com/transportation/flatbed-dropside-trucks/man-tgx-26-440-6x2-fassi-f185as22-xlx-kabine-manuell/7j5majgl.html
International MV607,Company,2020,"177,523 miles",United States,Reefer Trucks,International MV607,https://www.mascus.com/transportation/temperature-controlled-trucks/international-mv607/8odp7kbn.html
Mack GU813 Granite,Company,2013,"344,304 miles",United States,Dump Trucks,Mack GU813 Granite,https://www.mascus.com/transportation/tipper-trucks/mack-gu813-granite/5leudpeh.html
Ford F350 Service/Utility Truck,Company,2019,"133,493 miles",United States,Other Trucks,Ford F350 Service/Utility Truck,https://www.mascus.com/transportation/other-trucks/ford-f350-service-utility-truck/ep5i4t9j.html
DAF XF 510 FAN,Company,2017,"357,910 miles",Denmark,Demountable Trucks,DAF XF 510 FAN,https://www.mascus.com/transportation/demountables-trucks/daf-xf-510-fan/6fat4qhu.html
Isuzu NPRXD,Company,2021,"135,674 miles",United States,Reefer Trucks,Isuzu NPRXD,https://www.mascus.com/transportation/temperature-controlled-trucks/isuzu-nprxd/5m5lesif.html
Mercedes-Benz 2541 6X2 LKW FAHRGESTELL NUR OHNE SILO AUFBAU,Company,2015,"432,164 miles",Austria,Cab & Chassis Trucks,Mercedes-Benz 2541 6X2 LKW FAHRGESTELL NUR OHNE SILO AUFBAU,https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-2541-6x2-lkw-fahrgestell-nur-ohne-silo-aufbau/ef3tfgfm.html
DAF CF 480 +Hooklift,Company,2018,"155,343 miles",Belgium,Hook lift trucks,DAF CF 480 +Hooklift,https://www.mascus.com/transportation/hook-lift-trucks/daf-cf-480-hooklift/9kff9p3t.html
Daewoo AVIA / Maxi Pritsche,Company,2002,"151,717 miles",Germany,Flatbed Trucks,Daewoo AVIA / Maxi Pritsche,https://www.mascus.com/transportation/flatbed-dropside-trucks/daewoo-avia-maxi-pritsche/7hgo4qbm.html
Volvo FM440 6x2 Koukkuauto,Company,2007,"438,688 miles",Finland,Hook lift trucks,Volvo FM440 6x2 koukkuauto,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fm440-6x2-koukkuauto/iuft4rbl.html
Volvo FM 330 6X2 HIAB X-HIPRO 192 E-3 Kran Crane Transco,Company,2014,"164,838 miles",Netherlands,Other Trucks,Volvo FM 330 6X2 HIAB X-HIPRO 192 E-3 Kran Crane Transco,https://www.mascus.com/transportation/other-trucks/volvo-fm-330-6x2-hiab-x-hipro-192-e-3-kran-crane-transco/6ugk3j3u.html
Scania R 580 Kasettekipage,Company,2015,"457,942 miles",Sweden,Dump Trucks,Scania R 580 kasettekipage,https://www.mascus.com/transportation/tipper-trucks/scania-r-580-kasettekipage/eodg4p7m.html
Peterbilt 357,Company,2006,,United States,Other Trucks,Peterbilt 357,https://www.mascus.com/transportation/other-trucks/peterbilt-357/dl8oer6h.html
Ford ECONOLINE DRW E350 16 FT BOX TRUCK CUTAWAY,Company,2019,"162,746 miles",United States,Box trucks,Ford ECONOLINE DRW E350 16 FT BOX TRUCK CUTAWAY,https://www.mascus.com/transportation/box-body-trucks/ford-econoline-drw-e350-16-ft-box-truck-cutaway/4fel8lfp.html
Mercedes-Benz Atego 818 3-Way Tipper,Company,2014,"112,468 miles",Hungary,Dump Trucks,Mercedes-Benz Atego 818 3-Way Tipper,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-atego-818-3-way-tipper/fsffgkeu.html
Scania P 450 XT  / 8x6 / WYWROTKA TYLNOZSYPOWA / OPTICRUI,Company,2020,"118,060 miles",Hungary,Dump Trucks,Scania P 450 XT  / 8x6 / WYWROTKA TYLNOZSYPOWA / OPTICRUI,https://www.mascus.com/transportation/tipper-trucks/scania-p-450-xt-8x6-wywrotka-tylnozsypowa-opticrui/alel7p9i.html
International 7600,Company,2013,,United States,Dump Trucks,International 7600,https://www.mascus.com/transportation/tipper-trucks/international-7600/4lfp4sen.html
Howo 371 6x4,Company,2025,"4,039 miles",China,Dump Trucks,Howo 371 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-6x4/8qemdj9k.html
Volvo FMX 460 * Abrollkipper + EPSILON 150Z79 * 6x4,Company,2015,"198,217 miles",Poland,Hook lift trucks,Volvo FMX 460 * Abrollkipper + EPSILON 150Z79 * 6x4,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fmx-460-abrollkipper-epsilon-150z79-6x4/cnhkfudt.html
Kenworth W900,Company,2024,,United States,Log trucks,Kenworth W900,https://www.mascus.com/transportation/timber-trucks/kenworth-w900/hi9k8tet.html
Volvo FH16 610 8x4*4,Company,2005,"528,787 miles",Finland,Hook lift trucks,Volvo FH16 610 8x4*4,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fh16-610-8x4-4/fqem4tgq.html
"Mercedes-Benz Scania, Man, Volvo",Company,2005,,Lithuania,Cab & Chassis Trucks,"Mercedes-Benz Scania, Man, Volvo",https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-scania-man-volvo/em9p4n5t.html
Mercedes-Benz Arocs 3258 8x4 PK 78002 + JIB + WINCH / PLATFORM L,Company,2016,"247,514 miles",Estonia,Boom / Crane / Bucket Trucks,Mercedes-Benz Arocs 3258 8x4 PK 78002 + JIB + WINCH / PLATFORM L,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-arocs-3258-8x4-pk-78002-jib-winch-platform-l/3fcfgg8s.html
